"date","Year","Month","Day","Obs_TDP","nondiazoPP","diazoPP"
1969-06-26,1969,6,26,6,1,0
1969-07-03,1969,7,3,9,1,0
1969-07-07,1969,7,7,3,2,0
1969-07-17,1969,7,17,16,4,0
1969-07-24,1969,7,24,12,16,0
1969-07-30,1969,7,30,13,33,0
1969-08-07,1969,8,7,5,29,0
1969-08-20,1969,8,20,8,20,0
1969-08-27,1969,8,27,6,22,0
1969-09-08,1969,9,8,2,25,0
1969-09-17,1969,9,17,4,15,0
1969-10-16,1969,10,16,10,14,0
1969-10-29,1969,10,29,5,6,0
1970-05-25,1970,5,25,7,7,0
1970-05-26,1970,5,26,9,12,0
1970-05-27,1970,5,27,3,13,0
1970-06-02,1970,6,2,4,12,0
1970-06-09,1970,6,9,1,16,0
1970-06-16,1970,6,16,5,17,0
1970-06-23,1970,6,23,7,22,0
1970-06-30,1970,6,30,1,21,0
1970-07-07,1970,7,7,3,23,0
1970-07-14,1970,7,14,7,29,0
1970-07-21,1970,7,21,9,40,0
1970-07-28,1970,7,28,3,18,0
1970-08-11,1970,8,11,6,34,0
1970-08-25,1970,8,25,9,34,0
1970-09-01,1970,9,1,12,25,0
1970-09-08,1970,9,8,16,33,0
1970-09-15,1970,9,15,10,28,0
1970-09-22,1970,9,22,7,17,0
1970-09-29,1970,9,29,13,20,0
1970-10-06,1970,10,6,14,21,0
1970-10-13,1970,10,13,12,22,0
1970-10-27,1970,10,27,8,18,0
1971-05-18,1971,5,18,6,7,0
1971-05-25,1971,5,25,33,14,0
1971-06-08,1971,6,8,1,18,0
1971-06-15,1971,6,15,14,72,0
1971-06-22,1971,6,22,8,11,0
1971-06-29,1971,6,29,14,13,0
1971-07-06,1971,7,6,11,19,0
1971-07-13,1971,7,13,15,24,0
1971-07-27,1971,7,27,11,9,0
1971-08-03,1971,8,3,14,16,0
1971-08-10,1971,8,10,4,16,0
1971-08-17,1971,8,17,6,19,0
1971-08-24,1971,8,24,3,21,0
1971-08-31,1971,8,31,18,27,0
1971-09-07,1971,9,7,13,27,0
1971-09-14,1971,9,14,6,35,0
1971-09-21,1971,9,21,9,25,0
1971-09-28,1971,9,28,11,15,0
1971-10-05,1971,10,5,11,12,0
1971-10-12,1971,10,12,15,14,0
1971-10-19,1971,10,19,10,7,0
1971-10-26,1971,10,26,10,9,0
1972-05-16,1972,5,16,5,7,0
1972-05-30,1972,5,30,9,29,0
1972-06-13,1972,6,13,8,39,0
1972-06-27,1972,6,27,7,50,0
1972-07-11,1972,7,11,9,50,0
1972-07-25,1972,7,25,11,69,0
1972-08-08,1972,8,8,22,63,0
1972-08-22,1972,8,22,14,43,0
1972-09-05,1972,9,5,15,46,0
1972-09-19,1972,9,19,18,26,0
1972-10-03,1972,10,3,16,46,0
1972-10-17,1972,10,17,14,33,0
1973-05-28,1973,5,28,7,14,0
1973-06-11,1973,6,11,7,43,0
1973-06-25,1973,6,25,9,47,0
1973-07-09,1973,7,9,8,65,0
1973-07-23,1973,7,23,19,57,0
1973-08-06,1973,8,6,12,44,0
1973-08-20,1973,8,20,10,33,0
1973-09-03,1973,9,3,9,15,0
1973-09-17,1973,9,17,6,23,0
1973-10-01,1973,10,1,9,154,0
1973-10-15,1973,10,15,7,23,0
1974-05-21,1974,5,21,6,6,0
1974-06-04,1974,6,4,6,16,0
1974-06-18,1974,6,18,8,33,0
1974-07-02,1974,7,2,11,43,0
1974-07-16,1974,7,16,11,24,0
1974-07-30,1974,7,30,12,16,0
1974-08-13,1974,8,13,10,32,0
1974-08-27,1974,8,27,9,28,0
1974-09-10,1974,9,10,10,28,0
1974-09-24,1974,9,24,9,34,0
1974-10-08,1974,10,8,8,31,0
1974-10-22,1974,10,22,8,28,0
1975-05-27,1975,5,27,7,15,0
1975-06-10,1975,6,10,8,34,0
1975-06-24,1975,6,24,8,23,0
1975-07-08,1975,7,8,13,25.1939549723882,0.806045027611772
1975-07-22,1975,7,22,16,31.91909930385,0.0809006961500174
1975-08-19,1975,8,19,10,21.9338747960263,0.066125203973709
1975-09-02,1975,9,2,11,21.3792107637051,1.6207892362949
1975-09-16,1975,9,16,9,16.6585100901548,5.3414899098452
1975-09-30,1975,9,30,14,12.8176262515193,6.18237374848073
1975-10-14,1975,10,14,9,12.4147868111924,2.58521318880756
1975-10-28,1975,10,28,7,11.5343319348005,1.46566806519953
1976-05-25,1976,5,25,6,8.95917517673914,0.0408248232608563
1976-06-08,1976,6,8,6,19.6835836152628,0.316416384737159
1976-06-22,1976,6,22,9,20.2465282971211,0.753471702878863
1976-07-06,1976,7,6,9,19.7145684718503,1.28543152814973
1976-07-20,1976,7,20,10,19.6642815582413,1.33571844175868
1976-08-03,1976,8,3,9,17.5497325085106,2.45026749148945
1976-08-17,1976,8,17,8,18.6059014047631,4.39409859523685
1976-08-31,1976,8,31,9,18.6932141714809,1.3067858285191
1976-09-14,1976,9,14,6,21.5643479015714,0.435652098428558
1976-09-28,1976,9,28,7,22.8097144964192,0.190285503580751
1976-10-12,1976,10,12,6,38,0
1977-05-17,1977,5,17,11,13.9851056967332,0.0148943032667519
1977-05-31,1977,5,31,10,13,0
1977-06-14,1977,6,14,9,16.8532164153546,0.1467835846454
1977-06-28,1977,6,28,9,17.6320243002236,3.36797569977641
1977-07-26,1977,7,26,13,21.9315174093618,3.0684825906382
1977-08-09,1977,8,9,15,7.8278309633677,21.1721690366323
1977-08-23,1977,8,23,10,4.73229040664882,26.2677095933512
1977-09-07,1977,9,7,13,0.599022969782522,5.40097703021748
1977-09-20,1977,9,20,11,9.7475878139934,20.2524121860066
1977-10-04,1977,10,4,10,17.6432391557081,0.356760844291889
1977-10-18,1977,10,18,8,29,0
1978-06-06,1978,6,6,8,13.8980969695299,0.10190303047008
1978-08-01,1978,8,1,11,16.6910424103209,4.30895758967913
1978-09-12,1978,9,12,11,40.2326334021343,9.76736659786565
1978-09-26,1978,9,26,14,43.9111065233273,4.08889347667267
1979-05-22,1979,5,22,6,25.911021460954,0.0889785390459551
1979-06-19,1979,6,19,7,52.1739983168845,1.82600168311551
1979-07-17,1979,7,17,17,66.3485610536131,15.6514389463869
1979-08-14,1979,8,14,16,30.1825600926399,64.8174399073601
1979-09-11,1979,9,11,13,4.85841548727239,41.1415845127276
1979-10-09,1979,10,9,10,29.8019095911585,6.19809040884146
1979-10-23,1979,10,23,9,33.7084710855958,1.29152891440419
1979-10-30,1979,10,30,9,29.6532423741486,0.34675762585137
1980-05-20,1980,5,20,8,4.91983358745727,0.0801664125427298
1980-06-05,1980,6,5,24,52.1070987139447,7.89290128605534
1980-07-01,1980,7,1,9,22.1684222882689,35.8315777117311
1980-07-15,1980,7,15,12,24.050061403836,39.949938596164
1980-07-29,1980,7,29,26,8.78996282861245,17.2100371713876
1980-08-12,1980,8,12,13,25.3841412958461,34.6158587041539
1980-08-26,1980,8,26,13,52.3503384899647,19.6496615100353
1980-09-09,1980,9,9,10,47.0895613525675,32.9104386474325
1980-09-23,1980,9,23,11,72.0814641578722,33.9185358421278
1980-10-07,1980,10,7,11,76.3894800680813,5.61051993191868
1980-10-21,1980,10,21,8,90.5583798142949,3.44162018570515
1981-05-19,1981,5,19,7,19,0
1981-06-02,1981,6,2,2,21.9030892762603,0.0969107237397204
1981-06-16,1981,6,16,8,41.8400221724137,0.159977827586263
1981-06-30,1981,6,30,10,29.5737752836203,0.426224716379701
1981-07-14,1981,7,14,8,34,0
1981-07-28,1981,7,28,9,15.4578906620252,28.5421093379748
1981-08-11,1981,8,11,9,10.3776996901616,35.6223003098384
1981-08-25,1981,8,25,25,3.90418670723736,12.0958132927626
1981-09-08,1981,9,8,9,17.8651793408676,32.1348206591324
1981-09-22,1981,9,22,13,44.0841637367992,25.9158362632008
1981-10-06,1981,10,6,11,38.120970411373,13.879029588627
1981-10-20,1981,10,20,7,43.1835427631471,2.81645723685292
1982-05-25,1982,5,25,7,13.9498801179407,0.0501198820593383
1982-06-08,1982,6,8,6,25,0
1982-06-15,1982,6,15,8,17,0
1982-06-22,1982,6,22,14,12.8755802878368,4.1244197121632
1982-06-29,1982,6,29,9,31.8102571817145,10.1897428182855
1982-07-06,1982,7,6,9,10.3317594797608,12.6682405202392
1982-07-14,1982,7,14,6,3.38464300920425,20.6153569907958
1982-07-20,1982,7,20,8,2.21320068663995,20.78679931336
1982-07-27,1982,7,27,14,4.34761174995485,45.6523882500451
1982-08-03,1982,8,3,10,2.32256020919416,27.6774397908058
1982-08-10,1982,8,10,13,2.32256020919416,27.6774397908058
1982-08-17,1982,8,17,16,3.3257840184635,33.6742159815365
1982-08-24,1982,8,24,17,3.50555612756964,35.4944438724304
1982-08-31,1982,8,31,23,6.0003180344903,37.9996819655097
1982-09-07,1982,9,7,22,8.59136445847474,54.4086355415253
1982-09-14,1982,9,14,21,11.4855687104867,37.5144312895133
1982-09-21,1982,9,21,12,13.1491697538032,22.8508302461968
1982-09-28,1982,9,28,11,17.5550318516513,10.4449681483487
1982-10-05,1982,10,5,10,13.1662738887385,7.83372611126154
1982-10-12,1982,10,12,13,42.5473420682822,4.45265793171783
1982-10-19,1982,10,19,11,27.3568291770749,1.64317082292512
1982-10-26,1982,10,26,13,41.2194416375084,0.780558362491612
1983-05-17,1983,5,17,14,27,0
1983-05-24,1983,5,24,12,26,0
1983-05-31,1983,5,31,11,28,0
1983-06-07,1983,6,7,12,24.221586459157,2.77841354084302
1983-06-14,1983,6,14,10,24.221586459157,2.77841354084302
1983-06-21,1983,6,21,18,8.52360564355988,14.4763943564401
1983-06-28,1983,6,28,10,8.89419719327988,15.1058028067201
1983-07-05,1983,7,5,9,14.4497706421443,9.55022935785566
1983-07-12,1983,7,12,15,14.4497706421443,9.55022935785566
1983-07-26,1983,7,26,13,11.0770079807253,3.92299201927469
1983-08-02,1983,8,2,14,11.6386597007568,2.36134029924318
1983-08-09,1983,8,9,17,48.0583205867267,3.94167941327332
1983-08-16,1983,8,16,14,15.2478377528428,5.75216224715717
1983-08-23,1983,8,23,15,7.26087512040135,2.73912487959865
1983-08-30,1983,8,30,13,7.31142673846505,3.68857326153495
1983-09-06,1983,9,6,14,12.6288280028033,6.37117199719674
1983-09-13,1983,9,13,12,20.8397688464915,1.16023115350848
1983-09-20,1983,9,20,14,21.7870310667866,1.21296893321341
1983-10-04,1983,10,4,9,21,0
1983-10-11,1983,10,11,12,22,0
1983-10-18,1983,10,18,12,21,0
1984-05-22,1984,5,22,12,30,0
1984-05-29,1984,5,29,13,22,0
1984-06-05,1984,6,5,21,33,0
1984-06-18,1984,6,18,8,25.9849278250376,0.0150721749623768
1984-06-26,1984,6,26,9,23.9721744462233,0.0278255537766956
1984-07-03,1984,7,3,13,21.8290388922186,3.17096110778138
1984-07-10,1984,7,10,10,24.4485235592849,3.55147644071514
1984-07-17,1984,7,17,8,18.5173302936619,11.4826697063381
1984-07-24,1984,7,24,480,137.028244173098,84.9717558269016
1984-07-31,1984,7,31,9,18.7199128538221,29.2800871461779
1984-08-07,1984,8,7,12,17.1599201160036,26.8400798839964
1984-08-14,1984,8,14,15,11.5431717135749,42.4568282864251
1984-08-28,1984,8,28,13,6.104052266083,57.895947733917
1984-09-04,1984,9,4,16,7.43931369928866,70.5606863007113
1984-09-11,1984,9,11,11,24.7996052427197,55.2003947572803
1984-09-25,1984,9,25,11,68.1680380593976,19.8319619406024
1984-10-02,1984,10,2,16,99.1535099045783,28.8464900954217
1984-10-16,1984,10,16,8,47.2469266919559,4.7530733080441
1984-10-24,1984,10,24,8,68.1095303790593,3.89046962094073
1985-05-21,1985,5,21,9,13.9317576233981,0.0682423766018534
1985-05-28,1985,5,28,8,16,0
1985-06-04,1985,6,4,6,23,0
1985-06-11,1985,6,11,14,24.9639259026005,1.03607409739946
1985-06-18,1985,6,18,12,27.8443788913621,1.15562110863786
1985-06-25,1985,6,25,9,39.8396837837041,2.16031621629587
1985-07-02,1985,7,2,15,43.6339393821521,2.36606061784786
1985-07-09,1985,7,9,8,43.6668925766414,16.3331074233586
1985-07-16,1985,7,16,11,39.3002033189772,14.6997966810228
1985-07-25,1985,7,25,8,24.754607650402,23.245392349598
1985-07-30,1985,7,30,17,26.8174916212689,25.1825083787311
1985-08-06,1985,8,6,15,35.8488922994896,6.15110770051038
1985-08-13,1985,8,13,17,40.9701626279881,7.02983737201186
1985-08-20,1985,8,20,13,9.81321950035484,0.186780499645161
1985-08-27,1985,8,27,2,47.1034536017032,0.896546398296771
1985-09-03,1985,9,3,22,43.7843749794241,6.2156250205759
1985-09-10,1985,9,10,11,31.5247499851854,4.47525001481465
1985-09-17,1985,9,17,9,28.0563898560821,3.94361014391787
1985-09-24,1985,9,24,16,33.3578009238327,4.64219907616726
1985-10-01,1985,10,1,10,33.1542887088941,3.84571129110593
1985-10-08,1985,10,8,8,29.5700412809055,3.42995871909448
1985-10-15,1985,10,15,10,25,0
1985-10-21,1985,10,21,9,25,0
1986-05-20,1986,5,20,9,19,0
1986-05-27,1986,5,27,8,21,0
1986-06-03,1986,6,3,4,23,0
1986-06-17,1986,6,17,4,24.8374836315845,2.16251636841551
1986-06-24,1986,6,24,9,19.4156697712231,7.58433022877692
1986-07-01,1986,7,1,10,15.5487287898463,14.4512712101537
1986-07-08,1986,7,8,7,10.8606407859013,21.1393592140987
1986-07-15,1986,7,15,10,15.2727761051737,29.7272238948263
1986-07-29,1986,7,29,12,9.52193197015263,21.4780680298474
1986-08-05,1986,8,5,8,10.8584453173793,16.1415546826207
1986-08-12,1986,8,12,8,12.9264248608941,13.0735751391059
1986-08-19,1986,8,19,10,3.26233147560728,14.7376685243927
1986-08-26,1986,8,26,9,3.98729402574224,18.0127059742578
1986-09-02,1986,9,2,9,4.14652421642182,20.8534757835782
1986-09-09,1986,9,9,10,4.64410712239244,23.3558928776076
1986-09-16,1986,9,16,9,7.05433965402513,21.9456603459749
1986-09-23,1986,9,23,10,9.29871121700095,19.7012887829991
1986-10-28,1986,10,28,8,21.6268366648262,5.37316333517379
1987-05-19,1987,5,19,6,6.55364592361962,25.4463540763804
1987-05-26,1987,5,26,6,6.75844735873273,26.2415526412673
1987-06-02,1987,6,2,9,1.82120504859472,9.17879495140528
1987-06-09,1987,6,9,10,8.60933295699324,43.3906670430068
1987-06-16,1987,6,16,8,5.69261894998268,51.3073810500173
1987-06-23,1987,6,23,9,4.39158483219982,58.6084151678002
1987-06-30,1987,6,30,6,3.08450092110996,74.91549907889
1987-07-07,1987,7,7,8,3.12404580471394,75.8759541952861
1987-07-14,1987,7,14,9,1.0987289516825,78.9012710483175
1987-07-21,1987,7,21,13,1.09761450456013,77.9023854954399
1987-07-28,1987,7,28,9,1.23671654305536,86.7632834569446
1987-08-04,1987,8,4,8,0.836596244064425,71.1634037559356
1987-08-11,1987,8,11,10,0.670518685833449,72.3294813141665
1987-08-18,1987,8,18,10,1.4971855587788,161.502814441221
1987-09-01,1987,9,1,10,3.030969745094,72.969030254906
1987-09-15,1987,9,15,13,13.9235366083098,31.0764633916902
1987-09-21,1987,9,21,14,12.0670650605351,26.9329349394649
1987-09-29,1987,9,29,12,14.8630144814563,29.1369855185437
1987-10-06,1987,10,6,9,16.8897891834731,33.1102108165269
1987-10-13,1987,10,13,6,28.5386321536713,19.4613678463287
1988-05-17,1988,5,17,10,15.7118839774081,1.28811602259194
1988-05-24,1988,5,24,8,18.4336417235549,1.56635827644506
1988-05-31,1988,5,31,8,15.7618108983691,6.23818910163086
1988-06-07,1988,6,7,8,11.4631351988139,4.53686480118608
1988-06-14,1988,6,14,11,11.3442469522023,13.6557530477977
1988-06-21,1988,6,21,13,9.52916743984995,11.47083256015
1988-06-28,1988,6,28,13,10.6912572984626,4.30874270153739
1988-07-05,1988,7,5,16,8.55300583877009,3.44699416122991
1988-07-12,1988,7,12,8,12.8392202369521,8.16077976304788
1988-07-19,1988,7,19,7,12.2278287970973,7.77217120290274
1988-07-26,1988,7,26,7,19.4629527023722,2.53704729762777
1988-08-02,1988,8,2,7,16.8089136975033,2.19108630249671
1988-08-09,1988,8,9,8,19.0693455668182,1.93065443318183
1988-08-16,1988,8,16,9,27.2419222383117,2.75807776168833
1988-08-23,1988,8,23,10,27.5443849642003,1.45561503579971
1988-08-30,1988,8,30,10,29.443997720352,1.55600227964797
1988-09-06,1988,9,6,89,54.768525569709,0.231474430291007
1988-09-13,1988,9,13,8,34.8526980898148,0.147301910185186
1988-09-20,1988,9,20,13,35.8484894638095,0.151510536190477
1988-09-27,1988,9,27,13,34,0
1988-10-04,1988,10,4,11,36,0
1988-10-11,1988,10,11,10,35,0
1988-10-18,1988,10,18,10,37,0
1988-10-25,1988,10,25,9,43,0
1989-05-16,1989,5,16,6,10,0
1989-05-24,1989,5,24,6,12,0
1989-05-30,1989,5,30,7,16,0
1989-06-06,1989,6,6,6,15,0
1989-06-13,1989,6,13,7,23.7324178420378,4.2675821579622
1989-06-20,1989,6,20,54,75.4351852836201,13.5648147163799
1989-06-27,1989,6,27,211,27.4909359298479,8.50906407015205
1989-07-04,1989,7,4,7,20.618201947386,6.38179805261404
1989-07-11,1989,7,11,7,2.77056141691881,40.2294385830812
1989-07-18,1989,7,18,8,2.19067646919161,31.8093235308084
1989-07-25,1989,7,25,8,1.19759922082843,27.8024007791716
1989-08-01,1989,8,1,13,1.61056446938996,37.38943553061
1989-08-08,1989,8,8,11,3.00431797760223,23.9956820223978
1989-08-15,1989,8,15,12,3.22686005001721,25.7731399499828
1989-08-22,1989,8,22,10,4.08947740248514,19.9105225975149
1989-08-29,1989,8,29,9,3.91908251071492,19.0809174892851
1989-09-05,1989,9,5,9,7.66937020514543,11.3306297948546
1989-09-12,1989,9,12,10,11.3022297760038,16.6977702239962
1989-10-11,1989,10,11,7,19.9553920194365,1.04460798056351
1989-10-24,1989,10,24,8,7.60205410264247,0.397945897357528
1990-05-16,1990,5,16,8,15.8976057255794,0.102394274420559
1990-05-17,1990,5,17,10,19.8720071569743,0.127992843025699
1990-05-30,1990,5,30,9,24.9282024687062,0.0717975312937741
1990-06-11,1990,6,11,32,49.9719176633511,1.02808233664894
1990-06-14,1990,6,14,9,29.3952456843242,0.604754315675848
1990-06-28,1990,6,28,27,33.7841001144915,14.2158998855085
1990-07-09,1990,7,9,9,3.28705049059126,29.7129495094087
1990-07-12,1990,7,12,11,4.78116434995092,43.2188356500491
1990-07-26,1990,7,26,15,6.24977760126513,37.7502223987349
1990-08-08,1990,8,8,15,8.62706685151008,36.3729331484899
