Date,Depth,Stratum,NO3,NH4,PN,TDN,PP,TDP,Chl
1/21/69,0,EPI,14,NaN,NaN,200,NaN,4,NaN
3/16/69,0,EPI,17,98,NaN,NaN,NaN,NaN,NaN
4/22/69,0,EPI,125,NaN,3,225,3,7,0.9
5/7/69,0,EPI,80,NaN,NaN,250,NaN,7,NaN
5/17/69,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/27/69,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/5/69,0,EPI,9,NaN,36,156,1,13,3.2
6/11/69,0,EPI,1,NaN,70,144,9,3,2.2
6/19/69,0,EPI,1,NaN,79,143,2,5,2.4
6/25/69,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/26/69,0,EPI,13,NaN,96,132,1,6,2.7
7/3/69,0,EPI,9,NaN,142,182,1,9,9.7
7/7/69,0,EPI,84,NaN,510,221,2,3,10.1
7/9/69,0,EPI,NaN,31,163,NaN,NaN,NaN,NaN
7/17/69,0,EPI,92,12,196,266,4,16,10.2
7/22/69,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7/24/69,0,EPI,74,5,240,250,16,12,13.2
7/30/69,0,EPI,107,16,260,275,33,13,15
8/3/69,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/7/69,0,EPI,79,8,300,255,29,5,24.1
8/20/69,0,EPI,116,5,230,310,20,8,8.5
8/22/69,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/27/69,0,EPI,109,14,195,280,22,6,13.4
9/3/69,0,EPI,87,NaN,NaN,245,NaN,9,43.5
9/8/69,0,EPI,85,2,235,220,25,2,38.8
9/17/69,0,EPI,116,5,185,215,15,4,48.1
9/24/69,0,EPI,130,NaN,NaN,180,NaN,3,51.8
10/1/69,0,EPI,150,NaN,375,160,NaN,7,41.2
10/16/69,0,EPI,245,54,215,515,14,10,13.1
10/29/69,0,EPI,280,NaN,130,485,6,5,8.9
11/12/69,0,EPI,NaN,NaN,120,NaN,10,NaN,8.6
12/9/69,0,EPI,330,92,60,330,12,4,4
1/22/70,0,EPI,389,14,90,495,10,5,7.6
2/26/70,0,EPI,350,80,110,525,8,3,NaN
4/9/70,0,EPI,530,42,130,625,13,1,10.7
5/8/70,0,EPI,171,14,100,NaN,7,NaN,3.2
5/16/70,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,5.6
5/18/70,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/19/70,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,2.5
5/25/70,0,EPI,262,2,120,NaN,7,7,1
5/26/70,0,EPI,346,2,95,NaN,12,9,4.2
5/27/70,0,EPI,382,4,140,NaN,13,3,4.3
6/2/70,0,EPI,276,1,100,NaN,12,4,7.9
6/9/70,0,EPI,221,4,230,NaN,16,1,11.5
6/16/70,0,EPI,187,45,330,NaN,17,5,18.2
6/23/70,0,EPI,110,15,480,NaN,22,7,23.8
6/30/70,0,EPI,70,1,NaN,NaN,21,1,32.6
7/7/70,0,EPI,23,9,NaN,NaN,23,3,24
7/14/70,0,EPI,1,27,NaN,NaN,29,7,35.1
7/21/70,0,EPI,1,5,600,NaN,40,9,60.8
7/28/70,0,EPI,525,8,90,610,18,3,4.5
8/4/70,0,EPI,1,9,320,420,29,NaN,63.5
8/11/70,0,EPI,1,9,500,425,34,6,59
8/18/70,0,EPI,10,8,410,445,50,NaN,69.5
8/25/70,0,EPI,1,10,445,440,34,9,58.4
9/1/70,0,EPI,1,5,425,425,25,12,50.5
9/8/70,0,EPI,1,2,495,600,33,16,42.4
9/15/70,0,EPI,1,5,320,430,28,10,28
9/22/70,0,EPI,1,5,260,336,17,7,15.7
9/29/70,0,EPI,3,39,190,415,20,13,5.8
10/6/70,0,EPI,53,153,150,515,21,14,5.6
10/13/70,0,EPI,122,446,160,1120,22,12,7.8
10/20/70,0,EPI,178,420,NaN,1135,NaN,9,9.4
10/27/70,0,EPI,183,354,125,920,18,8,8.3
11/10/70,0,EPI,148,268,215,700,15,11,22
12/9/70,0,EPI,192,396,136,1260,23,13,17.7
1/19/71,0,EPI,152,778,141,1040,13,14,10
3/31/71,0,EPI,339,315,152,971,12,12,1.2
5/4/71,0,EPI,295,122,96,390,10,47,2.7
5/11/71,0,EPI,151,114,60,496,10,11,3.6
5/18/71,0,EPI,233,31,88,637,7,6,5.8
5/25/71,0,EPI,313,3,202,1120,14,33,13.3
6/1/71,0,EPI,259,1,101,327,NaN,50,11.1
6/8/71,0,EPI,106,1,285,265,18,1,25.9
6/15/71,0,EPI,8,7,442,284,72,14,27.2
6/22/71,0,EPI,2,8,366,274,11,8,21.7
6/25/71,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/29/71,0,EPI,30,12,269,344,13,14,16.6
7/6/71,0,EPI,20,13,326,398,19,11,30.4
7/13/71,0,EPI,1,3,401,201,24,15,38.4
7/20/71,0,EPI,NaN,NaN,399,NaN,24,NaN,33.9
7/27/71,0,EPI,34,28,177,252,9,11,7.9
8/3/71,0,EPI,136,28,209,336,16,14,6.2
8/10/71,0,EPI,122,12,253,325,16,4,13.5
8/17/71,0,EPI,2,17,378,231,19,6,31.5
8/24/71,0,EPI,5,48,432,288,21,3,37.6
8/31/71,0,EPI,1,20,424,187,27,18,34.8
9/7/71,0,EPI,5,17,347,275,27,13,18.7
9/14/71,0,EPI,86,31,318,294,35,6,15.7
9/21/71,0,EPI,195,6,232,326,25,9,11.1
9/28/71,0,EPI,224,12,181,302,15,11,11.6
10/5/71,0,EPI,270,4,122,348,12,11,9.8
10/12/71,0,EPI,323,57,314,359,14,15,13.7
10/19/71,0,EPI,322,119,NaN,409,7,10,12.3
10/26/71,0,EPI,379,9,73,598,9,10,11.9
11/9/71,0,EPI,355,408,90,639,12,10,18.2
12/16/71,0,EPI,353,424,107,783,18,9,21.7
1/18/72,0,EPI,340,397,68,686,4,5,1.4
4/6/72,0,EPI,479,14,50,1138,4,18,1.2
5/9/72,0,EPI,316,8,99,372,7,6,6.4
5/16/72,0,EPI,283,16,68,633,7,5,6.8
5/30/72,0,EPI,31,8,323,NaN,29,9,41.7
6/13/72,0,EPI,1,28,565,464,39,8,68.2
6/27/72,0,EPI,1,8,512,386,50,7,65.1
7/11/72,0,EPI,1,8,750,338,50,9,126
7/25/72,0,EPI,1,14,746,465,69,11,161
8/8/72,0,EPI,1,5,680,582,63,22,68.3
8/22/72,0,EPI,1,3,328,806,43,14,25.9
9/5/72,0,EPI,1,12,365,466,46,15,35.4
9/19/72,0,EPI,39,3,299,NaN,26,18,42.7
9/26/72,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10/3/72,0,EPI,31,2,270,483,46,16,47.8
10/17/72,0,EPI,63,191,239,671,33,14,48.8
12/12/72,0,EPI,110,280,180,937,19,13,18.6
1/23/73,0,EPI,111,292,165,746,13,9,11.9
2/20/73,0,EPI,118,315,NaN,810,12,9,7.8
3/20/73,0,EPI,127,338,78,864,10,8,5.6
4/12/73,0,EPI,NaN,106,217,1700,17,9,20.4
5/2/73,0,EPI,82,46,138,447,9,8,8.8
5/15/73,0,EPI,43,6,110,364,8,6,4.9
5/28/73,0,EPI,1,7,191,333,14,7,14.2
6/11/73,0,EPI,2,20,392,344,43,7,52.6
6/25/73,0,EPI,1,25,587,NaN,47,9,110
7/9/73,0,EPI,1,2,808,NaN,65,8,155
7/23/73,0,EPI,1,5,1046,191,57,19,191
8/6/73,0,EPI,1,5,730,126,44,12,23.3
8/20/73,0,EPI,1,3,981,433,33,10,16.9
9/3/73,0,EPI,1,6,286,358,15,9,14.2
9/17/73,0,EPI,1,8,242,340,23,6,20.6
10/1/73,0,EPI,1,22,315,331,154,9,24.9
10/15/73,0,EPI,68,57,312,410,23,7,61.9
10/29/73,0,EPI,133,217,300,823,NaN,12,23.3
11/6/73,0,EPI,153,546,210,1068,16,9,23.2
12/18/73,0,EPI,161,574,130,1057,12,7,8
1/22/74,0,EPI,152,609,97,966,14,10,8.3
2/26/74,0,EPI,55,652,163,950,25,7,8.6
4/2/74,0,EPI,3,669,122,1071,23,6,4.6
5/6/74,0,EPI,21,394,94,845,13,8,11.1
5/21/74,0,EPI,94,170,61,531,6,6,4.8
5/28/74,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,10.3
6/4/74,0,EPI,134,8,302,366,16,6,23.7
6/18/74,0,EPI,1,9,493,419,33,8,57.1
7/2/74,0,EPI,1,11,588,417,43,11,55.7
7/16/74,0,EPI,1,11,266,516,24,11,14.4
7/30/74,0,EPI,1,7,231,464,16,12,17
8/13/74,0,EPI,1,2,412,470,32,10,52.9
8/27/74,0,EPI,27,6,405,521,28,9,29.6
9/3/74,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,31.9
9/10/74,0,EPI,21,15,439,518,28,10,43.4
9/24/74,0,EPI,44,11,481,493,34,9,33.9
10/8/74,0,EPI,122,257,450,784,31,8,46.3
10/22/74,0,EPI,159,441,412,1066,28,8,44.5
11/5/74,0,EPI,168,413,390,1018,26,7,30.5
11/21/74,0,EPI,165,411,383,1128,22,8,30.2
12/11/74,0,EPI,181,524,276,1105,17,8,23.3
1/22/75,0,EPI,171,520,179,1152,11,8,9.4
3/4/75,0,EPI,173,469,139,1100,8,5,7.8
4/1/75,0,EPI,169,410,128,1030,9,4,3.9
5/13/75,0,EPI,96,216,146,876,23,9,6.3
5/27/75,0,EPI,42,11,264,417,16,6,5.8
5/27/75,0,EPI,44,11,249,413,15,7,7.6
6/10/75,0,EPI,2,8,397,396,27,6,24
6/10/75,0,EPI,3,9,363,831,29,8,23.3
6/10/75,0,EPI,3,8,417,800,34,8,21.3
6/24/75,0,EPI,5,12,358,440,25,8,16.3
6/24/75,0,EPI,5,12,324,400,23,8,17.6
7/8/75,0,EPI,2,4,278,463,27,13,27.8
7/8/75,0,EPI,3,4,267,519,26,14,23.8
7/8/75,0,EPI,2,5,290,469,26,13,30.5
7/22/75,0,EPI,1,6,306,514,33,16,15.3
7/22/75,0,EPI,1,3,312,499,32,16,16.4
8/5/75,0,EPI,2,2,210,436,19,12,12.8
8/5/75,0,EPI,1,2,198,456,21,12,16.8
8/5/75,0,EPI,2,2,210,443,20,12,19
8/19/75,0,EPI,4,2,148,393,21,10,7.8
8/19/75,0,EPI,2,2,125,404,22,10,8.9
9/2/75,0,EPI,1,4,170,406,21,11,17.3
9/2/75,0,EPI,3,NaN,208,NaN,63,NaN,22.2
9/2/75,0,EPI,4,1,190,406,23,11,15.8
9/16/75,0,EPI,5,8,315,414,21,9,13.9
9/16/75,0,EPI,6,4,313,424,22,9,15.9
9/30/75,0,EPI,1,6,264,445,17,13,7.2
9/30/75,0,EPI,1,10,260,421,20,13,9
9/30/75,0,EPI,1,13,289,476,19,14,28.2
10/14/75,0,EPI,1,32,133,462,14,9,6.6
10/14/75,0,EPI,2,32,136,453,15,9,8
10/28/75,0,EPI,22,462,204,907,12,8,11.8
10/28/75,0,EPI,22,434,168,993,13,8,7.4
10/28/75,0,EPI,22,444,120,889,13,7,29.5
11/11/75,0,EPI,32,658,99,1180,10,7,8
11/11/75,0,EPI,32,675,142,1250,10,7,9.4
1/7/76,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4/2/76,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/11/76,0,EPI,132,199,133,852,12,8,10.6
5/25/76,0,EPI,110,10,185,682,11,6,1.9
5/25/76,0,EPI,105,10,114,668,9,6,1.7
6/8/76,0,EPI,1,5,264,468,16,5,15.3
6/8/76,0,EPI,3,5,314,470,20,6,19.7
6/22/76,0,EPI,7,12,260,526,21,9,35
6/22/76,0,EPI,2,13,267,488,21,9,33.9
7/6/76,0,EPI,2,15,270,514,22,8,13.1
7/6/76,0,EPI,1,12,332,556,21,9,17.6
7/20/76,0,EPI,1,9,336,610,21,10,15.6
7/20/76,0,EPI,4,19,271,724,21,10,14.2
8/3/76,0,EPI,1,10,NaN,550,19,9,21.7
8/3/76,0,EPI,1,10,316,550,20,9,29.3
8/17/76,0,EPI,1,5,367,526,23,8,30.2
8/17/76,0,EPI,1,4,367,564,23,8,26.8
8/31/76,0,EPI,1,2,309,546,21,9,20.5
8/31/76,0,EPI,1,2,317,540,20,9,19.9
9/14/76,0,EPI,1,4,267,505,22,6,20.1
9/14/76,0,EPI,1,3,288,535,22,6,20
9/28/76,0,EPI,1,4,310,520,23,7,28.9
9/28/76,0,EPI,1,4,329,550,23,7,29.3
10/12/76,0,EPI,10,59,538,590,36,6,66.4
10/12/76,0,EPI,11,55,512,600,38,6,66.2
12/16/76,0,EPI,45,228,762,750,72,6,203
1/25/77,0,EPI,42,314,231,845,22,9,7.4
3/3/77,0,EPI,42,327,425,750,17,4,4.4
3/29/77,0,EPI,45,375,228,880,22,6,9
5/3/77,0,EPI,50,165,196,590,19,8,4.2
5/17/77,0,EPI,NaN,NaN,NaN,500,14,11,10.4
5/31/77,0,EPI,1,4,245,460,13,10,6.2
6/14/77,0,EPI,NaN,NaN,249,390,17,9,14.8
6/28/77,0,EPI,2,9,260,335,21,9,3.4
7/12/77,0,EPI,4,4,372,420,33,13,11.8
7/26/77,0,EPI,1,11,270,520,25,13,22.9
8/9/77,0,EPI,1,8,462,560,29,15,28.1
8/23/77,0,EPI,2,6,499,460,31,10,28.3
9/7/77,0,EPI,8,7,409,510,6,13,20.7
9/20/77,0,EPI,9,8,370,540,30,11,26.9
10/4/77,0,EPI,7,2,260,425,18,10,16.9
10/18/77,0,EPI,21,88,390,580,29,8,32.7
11/1/77,0,EPI,14,9,522,475,41,10,72
12/13/77,0,EPI,24,505,263,1030,33,10,15.4
1/10/78,0,EPI,25,520,83,990,25,8,7.9
2/13/78,0,EPI,14,556,140,1100,49,10,13.4
3/13/78,0,EPI,2,600,279,1090,50,11,13.5
5/9/78,0,EPI,20,190,153,620,19,9,13.9
5/16/78,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/23/78,0,EPI,4,18,170,375,13,6,5.7
6/6/78,0,EPI,2,6,204,380,14,8,11.6
6/20/78,0,EPI,1,22,250,360,18,8,11
7/4/78,0,EPI,1,6,151,360,14,9,7.7
7/18/78,0,EPI,1,5,265,480,20,12,17.2
8/1/78,0,EPI,1,3,266,480,21,11,21.4
8/15/78,0,EPI,1,4,407,395,36,11,21
8/20/78,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/29/78,0,EPI,1,1,466,435,49,12,39.6
9/12/78,0,EPI,6,6,559,475,50,11,59.4
9/26/78,0,EPI,1,3,343,490,48,14,41.7
10/10/78,0,EPI,1,1,480,440,47,9,41.4
10/24/78,0,EPI,3,166,598,650,47,7,46.4
12/6/78,0,EPI,7,630,367,1150,34,11,32.4
1/10/79,0,EPI,10,605,301,1050,31,7,26.3
2/14/79,0,EPI,16,680,295,1190,28,6,23.5
3/28/79,0,EPI,43,660,343,1200,22,6,23.9
5/22/79,0,EPI,31,180,514,600,26,6,33.1
6/5/79,0,EPI,1,9,640,495,39,10,34
6/19/79,0,EPI,1,7,756,475,54,7,21.5
7/3/79,0,EPI,1,14,846,510,66,8,21.9
7/17/79,0,EPI,1,32,614,660,82,17,21.9
7/31/79,0,EPI,1,17,729,620,79,15,30.6
8/14/79,0,EPI,9,20,1171,650,95,16,49.1
8/28/79,0,EPI,1,24,917,770,52,16,60.4
9/11/79,0,EPI,56,17,930,750,46,13,56.4
9/25/79,0,EPI,85,7,NaN,750,NaN,12,21.8
10/9/79,0,EPI,115,104,439,820,36,10,24.7
10/23/79,0,EPI,164,495,406,1330,35,9,18.8
10/30/79,0,EPI,151,635,430,1420,30,9,19.7
12/17/79,0,EPI,192,635,286,1390,25,8,34.5
1/22/80,0,EPI,195,730,224,1210,23,7,13
2/27/80,0,EPI,199,750,184,1480,21,7,9.9
3/19/80,0,EPI,196,760,149,1480,19,6,9.9
5/6/80,0,EPI,110,104,553,650,19,7,22.9
5/20/80,0,EPI,1,11,470,500,5,8,31.5
6/5/80,0,EPI,6,15,684,740,60,24,17.6
6/17/80,0,EPI,1,20,670,517,62,9,41.3
7/1/80,0,EPI,7,16,369,523,58,9,57.5
7/15/80,0,EPI,1,32,1154,650,64,12,60.5
7/29/80,0,EPI,1,9,450,860,26,26,45
8/12/80,0,EPI,1,9,1296,590,60,13,51.5
8/26/80,0,EPI,1,33,726,615,72,13,61.5
9/9/80,0,EPI,1,28,844,555,80,10,71.5
9/23/80,0,EPI,1,10,1150,525,106,11,99.5
10/7/80,0,EPI,1,13,1256,740,82,11,91
10/21/80,0,EPI,4,348,1072,840,94,8,62
12/8/80,0,EPI,7,345,834,1011,58,9,48
1/12/81,0,EPI,10,617,321,1368,48,8,11.63
2/9/81,0,EPI,11,639,367,1259,38,11,14.9
3/16/81,0,EPI,2,71,557,1618,55,8,16.8
5/4/81,0,EPI,20,334,58,870,11,9,7.2
5/4/81,0,EPI,NaN,NaN,60,NaN,NaN,NaN,8.1
5/18/81,0,EPI,NaN,NaN,186,NaN,NaN,NaN,13.4
5/19/81,0,EPI,55,129,252,824,19,7,13.4
6/1/81,0,EPI,NaN,NaN,443,NaN,NaN,NaN,18.4
6/2/81,0,EPI,35,30,343,169,22,2,18.4
6/15/81,0,EPI,NaN,NaN,358,NaN,NaN,NaN,16.3
6/16/81,0,EPI,17,10,298,616,42,8,11.4
6/29/81,0,EPI,NaN,NaN,296,NaN,NaN,NaN,6.9
6/30/81,0,EPI,6,3,380,535,30,10,11.4
7/13/81,0,EPI,NaN,NaN,237,NaN,NaN,NaN,9.8
7/14/81,0,EPI,1,1,492,532,34,8,5.7
7/27/81,0,EPI,NaN,NaN,454,NaN,NaN,NaN,13
7/28/81,0,EPI,4,12,544,520,44,9,13.3
8/10/81,0,EPI,NaN,NaN,428,NaN,NaN,NaN,18.8
8/11/81,0,EPI,0.5,0.5,674,669,46,9,38.5
8/24/81,0,EPI,NaN,NaN,1090,NaN,NaN,NaN,18.4
8/25/81,0,EPI,7,3,790,982,16,25,17.2
8/26/81,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/26/81,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9/8/81,0,EPI,0.5,0.5,780,466,50,9,18.2
9/8/81,0,EPI,NaN,NaN,89,NaN,NaN,NaN,9.13
9/21/81,0,EPI,NaN,NaN,800,NaN,NaN,NaN,18.43
9/22/81,0,EPI,0.5,0.5,637,582,70,13,44.5
10/5/81,0,EPI,NaN,NaN,538,NaN,NaN,NaN,34.6
10/6/81,0,EPI,3,61,272,685,52,11,34.3
10/14/81,0,EPI,NaN,NaN,696,NaN,NaN,NaN,25.55
10/20/81,0,EPI,0.5,102,690,576,46,7,55.3
12/15/81,0,EPI,5,255,420,876,32,8,19.2
1/13/82,0,EPI,0.5,422,296,1039,22,8,13.6
2/10/82,0,EPI,0.5,456,246,1235,16,7,5.8
3/10/82,0,EPI,11,480,170,1314,18,7,7.5
5/5/82,0,EPI,19,239,215,931,14,8,8.6
5/5/82,0,EPI,NaN,NaN,194,NaN,NaN,NaN,10.89
5/11/82,0,EPI,13,135,159,758,23,10,10.2
5/17/82,0,EPI,NaN,NaN,200,NaN,NaN,NaN,13.82
5/18/82,0,EPI,NaN,NaN,282,NaN,NaN,NaN,13.82
5/25/82,0,EPI,0.5,0.5,194,528,14,7,16.8
5/31/82,0,EPI,NaN,NaN,275,NaN,NaN,NaN,7.35
6/8/82,0,EPI,0.5,0.5,266,449,25,6,7.6
6/14/82,0,EPI,NaN,NaN,275,NaN,NaN,NaN,4.26
6/15/82,0,EPI,33,0.5,218,622,17,8,4.8
6/22/82,0,EPI,0.5,2,242,572,17,14,6.2
6/29/82,0,EPI,273,4,297,758,42,9,10
6/29/82,0,EPI,NaN,NaN,324,NaN,NaN,NaN,8.77
7/6/82,0,EPI,0.5,0.5,388,420,23,9,21.7
7/12/82,0,EPI,NaN,NaN,437,NaN,NaN,NaN,29.46
7/14/82,0,EPI,0.5,0.5,562,508,24,6,44.6
7/20/82,0,EPI,0.5,0.5,636,621,23,8,68.2
7/26/82,0,EPI,NaN,NaN,682,NaN,NaN,NaN,63.12
7/27/82,0,EPI,0.5,0.5,1058,956,50,14,94.9
7/28/82,0,EPI,NaN,NaN,1108,NaN,NaN,NaN,52.73
8/3/82,0,EPI,3,19,874,715,30,10,81.5
8/3/82,0,EPI,NaN,NaN,958,NaN,NaN,NaN,80.22
8/9/82,0,EPI,NaN,NaN,828,NaN,NaN,NaN,38.66
8/10/82,0,EPI,11,0.5,812,775,30,13,79.3
8/17/82,0,EPI,0.5,5,984,1043,37,16,116.5
8/23/82,0,EPI,NaN,NaN,890,NaN,NaN,NaN,103.58
8/24/82,0,EPI,2,43,917,1112,39,17,127.9
8/31/82,0,EPI,2,35,935,869,44,23,84
9/6/82,0,EPI,NaN,NaN,1042,NaN,NaN,NaN,89.6
9/7/82,0,EPI,133,13,1039,1127,63,22,80.7
9/14/82,0,EPI,1,9,944,776,49,21,97.3
9/20/82,0,EPI,NaN,NaN,679,NaN,NaN,NaN,75.1
9/21/82,0,EPI,1,6,594,752,36,12,76.1
9/28/82,0,EPI,NaN,NaN,451,NaN,NaN,NaN,29.4
9/28/82,0,EPI,4,15,458,698,28,11,36.5
10/5/82,0,EPI,3,20,314,706,21,10,23.5
10/12/82,0,EPI,8,161,370,793,47,13,44.8
10/13/82,0,EPI,NaN,NaN,265,NaN,NaN,NaN,16.71
10/19/82,0,EPI,7,300,313,966,29,11,28.7
10/25/82,0,EPI,NaN,NaN,544,NaN,NaN,NaN,33.27
10/26/82,0,EPI,9,391,599,1126,42,13,34.3
